12083_6#35	T020_N01_C04
12083_6#36	T020_N01_C05
12083_6#37	T020_N01_C06
12083_6#38	T020_N01_C07
12083_6#39	T020_N01_C08
12083_8#54	T020_N01_C09
4925_8#3	T020_N02_C01
12083_6#41	T020_N02_C02
12083_6#42	T020_N02_C03
12083_6#43	T020_N02_C04
12083_6#44	T020_N02_C05
12083_6#45	T020_N02_C06
12083_6#46	T020_N02_C07
12083_6#47	T020_N02_C08
12083_6#48	T020_N02_C09
4925_8#2	T021_N06_C01
4950_3#1	T223_A01_C01
4925_7#12	T225_N01_C01
4925_7#11	T230_C02_C01
4925_7#9	T232_N02_C01
12162_8#71	T232_N02_C02
12162_8#72	T232_N02_C03
12162_8#73	T232_N02_C04
12162_8#74	T232_N02_C05
12162_8#75	T232_N02_C06
12162_8#76	T232_N02_C07
12162_8#77	T232_N02_C08
12162_8#78	T232_N02_C09
4925_7#10	T232_T01_C01
12083_8#59	T232_T02_C01
12083_8#68	T234_C03_C01
4925_7#7	T234_N04_C01
12162_8#79	T234_N04_C02
12162_8#80	T234_N04_C03
12162_8#81	T234_N04_C04
12162_8#82	T234_N04_C05
12162_8#83	T234_N04_C06
12162_8#84	T234_N04_C07
12162_8#85	T234_N04_C08
12162_8#86	T234_N04_C09
4925_7#8	T234_W02_C01
5150_8#10	T241_N02_C01
12083_8#67	T249_A02_C01
12083_8#66	T249_A03_C01
4925_7#5	T249_N03_C01
12083_8#1	T249_N03_C02
12162_8#87	T249_N03_C03
12162_8#88	T249_N03_C04
12162_8#89	T249_N03_C05
12162_8#90	T249_N03_C06
12162_8#91	T249_N03_C07
12162_8#92	T249_N03_C08
12162_8#93	T249_N03_C09
4925_7#6	T249_T01_C01
12083_8#77	T249_T02_C01
12083_8#76	T249_T03_C01
4925_7#4	T270_U01_C01
12083_8#75	T271_A03_C01
4925_7#3	T271_C01_C01
12083_8#2	T271_N03_C01
12083_8#3	T271_N03_C02
12083_8#4	T271_N03_C03
12083_8#5	T271_N03_C04
12083_8#6	T271_N03_C05
12083_8#7	T271_N03_C06
12083_8#8	T271_N03_C07
12083_8#9	T271_N03_C08
4925_7#2	T271_N04_C01
12083_8#10	T271_N04_C02
12083_8#11	T271_N04_C03
12083_8#12	T271_N04_C04
12083_8#13	T271_N04_C05
12083_8#14	T271_N04_C06
12083_8#15	T271_N04_C07
12083_8#16	T271_N04_C08
12083_8#17	T271_N04_C09
12083_8#74	T271_T01_C01
12083_8#73	T271_T02_C01
12083_8#58	T271_T03_C01
12083_8#80	T271_W04_C01
5704_8#5	T028_C02_C01
4925_6#9	T301_T02_C01
4925_6#8	T303_N03_C01
12083_8#79	T322_C02_C01
4925_6#7	T322_N02_C01
4925_6#6	T327_N02_C01
12083_8#18	T327_N02_C02
12083_8#19	T327_N02_C03
12083_8#20	T327_N02_C04
12083_8#21	T327_N02_C05
12083_8#22	T327_N02_C06
12083_8#23	T327_N02_C07
12083_8#24	T327_N02_C08
12083_8#25	T327_N02_C09
12083_8#81	T327_T01_C01
12083_8#26	T330_N01_C01
12083_8#27	T330_N01_C02
12083_8#28	T330_N01_C03
12083_8#29	T330_N01_C04
12083_8#30	T330_N01_C05
12083_8#31	T330_N01_C06
12083_8#32	T330_N01_C07
12083_8#33	T330_N01_C08
4925_6#5	T330_T01_C01
4925_6#4	T335_A02_C01
4925_6#3	T341_T01_C01
5150_8#11	T353_N01_C01
12083_8#72	T358_C01_C01
12083_8#71	T358_C02_C01
4925_6#2	T358_N01_C01
